id,token,LEMME,PPOS,MODE,TEMPS,PERS.,NOMB.,GENRE,CAS,DEGRE,PPOSM,flectM,REMARQUES
Ez_w_000809,Quant,cant1,CONsub,,,,,,,,,,
Ez_w_000810,vint,venir,VERcjg,ind,psp,3,s,,,,,,
Ez_w_000811,au,a3+le,PRE.DETdef,,,,s,m,r,,,,
Ez_w_000812,chief,chief1,NOMcom,,,,s,m,r,,,,
Ez_w_000813,de,de,PRE,,,,,,,,,,
Ez_w_000814,xviii,dis+huit,DETcar,,,,p,m,r,,,,
Ez_w_000815,ans,an,NOMcom,,,,p,m,r,,,,
Ez_w_000816,ung,un,DETndf,,,,s,m,r,,,,
Ez_w_000817,peu,poi,NOMcom,,,,s,m,r,,,,
Ez_w_000818,apres,après,PRE,,,,,,,,,,
Ez_w_000819,la,la,DETdef,,,,s,f,r,,,,
Ez_w_000820,penthecouste,pentecoste,NOMpro,,,,s,f,r,,,,
Ez_w_000821,il,il,PROper,,,,s,f,r,,,,
Ez_w_000822,ala,aler,VERcjg,ind,psp,3,s,,,,,,
Ez_w_000823,au,a3+le,PRE.DETdef,,,,s,m,r,,,,
Ez_w_000824,boys,bois,NOMcom,,,,s,m,r,,,,
Ez_w_000825,et,et,CONcoo,,,,,,,,,,
Ez_w_000826,trouva,trover,VERcjg,ind,psp,3,s,,,,,,
Ez_w_000827,ung,un,DETndf,,,,s,m,r,,,,
Ez_w_000828,si,si,ADVgen,,,,,,,-,,,
Ez_w_000829,grant,grant,ADJqua,,,,s,m,r,p,,,
Ez_w_000830,cerf,cerf,NOMcom,,,,s,m,r,,,,
Ez_w_000831,que,que2,PROrel,,,,s,m,r,,,,
Ez_w_000832,oncques,onque,ADVgen,,,,,,,-,,,
Ez_w_000833,mes,mais1,ADVgen,,,,,,,-,,,
Ez_w_000834,n,ne1,ADVneg,,,,,,,,,,
Ez_w_000835,avoit,avoir,VERcjg,ind,ipf,3,s,,,,,,
Ez_w_000836,veu,vëoir,VERppe,,,,s,m,r,,,,
Ez_w_000837,tel,tel,PROind,,,,s,m,r,,,,
Ez_w_000838,Et,et,CONcoo,,,,,,,,,,
Ez_w_000839,pour,por2,PRE,,,,,,,,,,
Ez_w_000840,la,le,DETdef,,,,s,f,r,,,,
Ez_w_000841,merveille,merveille,NOMcom,,,,s,f,r,,,,
Ez_w_000842,il,il,PROper,,,3,s,m,n,,,,
Ez_w_000843,tira,tirer,VERcjg,ind,psp,3,s,,,,,,
Ez_w_000844,une,un,DETndf,,,,s,f,r,,,,
Ez_w_000845,saiette,saiete,NOMcom,,,,s,f,r,,,,
Ez_w_000846,et,et,CONcoo,,,,,,,,,,
Ez_w_000847,l,il,PROper,,,3,s,m,r,,,,
Ez_w_000848,occist,ocire,VERcjg,ind,psp,3,s,,,,,,
Ez_w_000849,et,et,CONcoo,,,,,,,,,,
Ez_w_000850,le,il,PROper,,,3,s,m,r,,,,
Ez_w_000851,trouva,trover,VERcjg,ind,psp,3,s,,,,,,
Ez_w_000852,de,de,PRE,,,,,,,,,,
Ez_w_000853,si,si,ADVgen,,,,,,,-,,,
Ez_w_000854,grande,grant,ADJqua,,,,s,f,r,p,,,
Ez_w_000855,gresse,craisse,NOMcom,,,,s,f,r,,,,
Ez_w_000856,comme,come1,CONsub,,,,,,,,,,
Ez_w_000857,se,se,CONsub,,,,,,,,,,
Ez_w_000858,ce,ce1,PROdem,,,,s,n,n,,,,
Ez_w_000859,fust,estre1,VERcjg,ind,psp,3,s,,,,,,
Ez_w_000860,ou,en1+le,PRE.DETdef,,,,s,m,r,,,,
Ez_w_000861,moys,mois1,NOMcom,,,,s,m,r,,,,
Ez_w_000862,d,de,PRE,,,,,,,,,,
Ez_w_000863,aoust,aost,NOMcom,,,,s,m,r,,,,
Ez_w_000864,Ses,son4,DETpos,,,3,s,m,n,,,,
Ez_w_000865,compaignons,compagnon,NOMcom,,,,p,m,n,,,,
Ez_w_000866,le,il,PROper,,,3,s,m,r,,,,
Ez_w_000867,regardoient,regarder,VERcjg,ind,ipf,3,s,,,,,,
Ez_w_000868,a,a3,PRE,,,,,,,,,,
Ez_w_000869,merveilles,merveille,NOMcom,,,,p,f,r,,,,
Ez_w_000870,pour,por2,PRE,,,,,,,,,,
Ez_w_000871,la,le,DETdef,,,,s,f,r,,,,
Ez_w_000872,grandeur,grandor,NOMcom,,,,s,f,r,,,,
Ez_w_000873,qu,que2,PROrel,,,,s,f,r,,,,
Ez_w_000874,il,il,PROper,,,3,s,m,n,,,,
Ez_w_000875,avoit,avoir,VERcjg,ind,ipf,3,s,,,,,,
Ez_w_000876,Il,il,PROper,,,3,s,m,n,,,,
Ez_w_000877,l,il,PROper,,,3,s,m,r,,,,
Ez_w_000878,envoya,envoier,VERcjg,ind,psp,3,s,,,,,,
Ez_w_000879,a,a3,PRE,,,,,,,,,,
Ez_w_000880,sa,son4,DETpos,,,3,s,f,r,,,,
Ez_w_000881,dame,dame,NOMcom,,,,s,f,r,,,,
Ez_w_000882,et,et,PRE,,,,,,,,,,
Ez_w_000883,celle,cel,PROdem,,,,s,f,n,,,,
Ez_w_000886,s,soi1,PROper,,,3,s,f,r,,,,
Ez_w_000887,esmerveille,esmerveillier,VERcjg,ind,pst,3,s,,,,,,
Ez_w_000888,moult,mout,ADVgen,,,,,,,-,,,
Ez_w_000889,de,de,PRE,,,,,,,,,,
Ez_w_000890,ce,ce1,PROdem,,,,s,n,r,,,,
Ez_w_000891,que,que2,PROrel,,,,s,n,r,,,,
Ez_w_000892,si,si,ADVgen,,,,,,,-,,,
Ez_w_000893,gras,cras,ADJqua,,,,s,m,r,p,,,
Ez_w_000894,le,il,PROper,,,3,s,m,r,,,,
Ez_w_000895,vit,vëoir,VERcjg,ind,psp,3,s,,,,,,
Ez_w_000896,en,en1,PRE,,,,,,,,,,
Ez_w_000897,celle,cel,DETdem,,,,s,f,r,,,,
Ez_w_000898,saison,saison,NOMcom,,,,s,f,r,,,,
